brand,bike_or_product_name,supported_models_compatibility,model_year_engine_notes,product_link,link_source,sku,price_inr,availability_status,visible_on_site,collections,customer_selectable_options,control_options,warranty,in_the_box,support_notes
KTM,KTM ADV 390 X Gen 2 - Hold My Throttle,Gen 2 KTM 390 Adventure MY25 with 398cc,Gen 2 KTM 390 Adventure MY25 with 398cc,https://www.holdmythrottle.com/product-page/adv-390-hmt,matched_manual,,15999,InStock,true,KTM; Active; Indian,,,12 Months Warranty,,"Electronic cruise control kit. Plug and play where compatible. Verify exact model/year/variant before purchase, especially where notes mention Ride By Wire, OBD type, E-Clutch, BS4/BS6, or exclusions."
KTM,KTM ADV 390X Gen 1 - Hold My Throttle,Gen 1 KTM 390 Adventure X MY20+ - 373cc,Gen 1 KTM 390 Adventure X MY20+ - 373cc,https://www.holdmythrottle.com/product-page/1st-gen-adv-390x-hold-my-throttle,matched_image_id,,15999,InStock,true,KTM; Active; Indian,,,12 Months Warranty,,"Electronic cruise control kit. Plug and play where compatible. Verify exact model/year/variant before purchase, especially where notes mention Ride By Wire, OBD type, E-Clutch, BS4/BS6, or exclusions."
KTM,KTM Duke 250 Gen 3 - Hold My Throttle,Gen 3 KTM 250 Duke MY24 with 249.07 cc,Gen 3 KTM 250 Duke MY24 with 249.07 cc,https://www.holdmythrottle.com/product-page/duke-250-hmt,matched_manual,,15999,InStock,true,KTM; Active; Indian,,,12 Months Warranty,,"Electronic cruise control kit. Plug and play where compatible. Verify exact model/year/variant before purchase, especially where notes mention Ride By Wire, OBD type, E-Clutch, BS4/BS6, or exclusions."
KTM,KTM Duke 390 Gen 2 - Hold My Throttle,Gen 2 KTM 390 Duke MY17-23 with 373cc,Gen 2 KTM 390 Duke MY17-23 with 373cc,https://www.holdmythrottle.com/product-page/ktm-duke-390-hold-my-throttle,matched_manual,,15999,InStock,true,KTM; Active; Indian,"VERSION: BS4, BS6",,12 Months Warranty,,"Electronic cruise control kit. Plug and play where compatible. Verify exact model/year/variant before purchase, especially where notes mention Ride By Wire, OBD type, E-Clutch, BS4/BS6, or exclusions."
KTM,KTM RC390 (MY2017+) - Hold My Throttle,KTM 390 RC MY17+ with 373cc,KTM 390 RC MY17+ with 373cc,https://www.holdmythrottle.com/product-page/ktm-rc390-my17-hmt,matched_image_id,,15999,InStock,true,KTM; Active; Indian,"VERSION: BS4 / White OBD / 2017-2019, BS6 / Red OBD / 2020+",,12 Months Warranty,,"Electronic cruise control kit. Plug and play where compatible. Verify exact model/year/variant before purchase, especially where notes mention Ride By Wire, OBD type, E-Clutch, BS4/BS6, or exclusions."
Royal Enfield,RE Guerrilla 450 - Hold My Throttle,Guerrilla 450 MY24+ with 452cc,Guerrilla 450 MY24+ with 452cc,https://www.holdmythrottle.com/product-page/re-guerrilla-450,matched_image_id,HMT-REH450-1,15999,InStock,true,Royal Enfield; Active; Indian,,,12 Months Warranty,,"Electronic cruise control kit. Plug and play where compatible. Verify exact model/year/variant before purchase, especially where notes mention Ride By Wire, OBD type, E-Clutch, BS4/BS6, or exclusions."
Royal Enfield,RE Himalayan 450 - Hold My Throttle,Himalayan 450 (2023-2026 ) with 452cc,Himalayan 450 (2023-2026 ) with 452cc,https://www.holdmythrottle.com/product-page/re-himalayan-450,matched_image_id,HMT-REH450-1,15999,InStock,true,Royal Enfield; Active; Indian,,,12 Months Warranty,,"Electronic cruise control kit. Plug and play where compatible. Verify exact model/year/variant before purchase, especially where notes mention Ride By Wire, OBD type, E-Clutch, BS4/BS6, or exclusions."
Suzuki,Suzuki V-Storm 800DE - Hold My Throttle,Suzuki V-Storm 800DE,Suzuki V-Storm 800DE,https://www.holdmythrottle.com/product-page/suzuki-v-storm-800de-hold-my-throttle,matched_image_id,HMT-SZ800,18999,New; InStock,true,Active; Suzuki; big,,"The 3-button control makes it simple to Set, Resume, Stop, and Fine-tune Speed while riding. An integrated LED indicator shows your cruise status.",12 Months Warranty,Hold My Throttle Unit 3 Button Handlebar Switch control with LEDs Plug & Play Wiring Harness Zip ties Decals,"Electronic cruise control kit. Plug and play where compatible. Verify exact model/year/variant before purchase, especially where notes mention Ride By Wire, OBD type, E-Clutch, BS4/BS6, or exclusions."
TVS,RR310 - Hold My Throttle,RR310,RR310,https://www.holdmythrottle.com/product-page/rr310-hmt,matched_image_id,,15999,OutOfStock,true,TVS; Coming Soon; Indian,,Two Button Switch includes a two button switch control for cruise control with start and stop button Triple Button Switch coming soon ( Will be shipped to previous purchases for free ),12 Months Warranty,,"Electronic cruise control kit. Plug and play where compatible. Verify exact model/year/variant before purchase, especially where notes mention Ride By Wire, OBD type, E-Clutch, BS4/BS6, or exclusions."
Triumph,Triumph 400 - Hold My Throttle,"Triump 400 Speed, Scrambler X & XC, Thruxton 400 MY23+ with 398cc Not compatible with Speed T4","Triump 400 Speed, Scrambler X & XC, Thruxton 400 MY23+ with 398cc Not compatible with Speed T4",https://www.holdmythrottle.com/product-page/triumph-400-hold-my-throttle,inferred_hidden_not_in_sitemap,TR400,15999,InStock; Hidden on site,false,Triumph; Active; Indian,"Motorcycle: Thruxton, Scrambler, Speed",,12 Months Warranty,,"Electronic cruise control kit. Plug and play where compatible. Verify exact model/year/variant before purchase, especially where notes mention Ride By Wire, OBD type, E-Clutch, BS4/BS6, or exclusions."
Triumph,Triumph 660 - Hold My Throttle,Triumph 660,Triumph 660,https://www.holdmythrottle.com/product-page/tiger-sport-660-hmt,matched_manual,,18999,New; OutOfStock,true,Triumph; big; Active,,Two Button Switch includes a two button switch control for cruise control with start and stop button Triple Button Switch coming soon ( Will be shipped to previous purchases for free ),12 Months Warranty,,"Electronic cruise control kit. Plug and play where compatible. Verify exact model/year/variant before purchase, especially where notes mention Ride By Wire, OBD type, E-Clutch, BS4/BS6, or exclusions."
Triumph,Triumph 900 - Hold My Throttle,"2016 or later Triumph 900cc Twin ( Street, Scrambler, Speed, Bonneville T100, etc )","2016 or later Triumph 900cc Twin ( Street, Scrambler, Speed, Bonneville T100, etc )",https://www.holdmythrottle.com/product-page/triumph-900-hold-my-throttle,matched_image_id,TR900,18999,New; InStock,true,Triumph; Active; big,"Motorcycle: Street Scrambler 900, Speed Twin 900, Bonneville T100 | Model year: Upto 2018, 2019 or later",,12 Months Warranty,,"Electronic cruise control kit. Plug and play where compatible. Verify exact model/year/variant before purchase, especially where notes mention Ride By Wire, OBD type, E-Clutch, BS4/BS6, or exclusions."
Triumph,Triumph Scrambler 400 X & XC - Hold My Throttle,Triump Scrambler 400 MY23+ with 398cc Not compatible with Speed T4,Triump Scrambler 400 MY23+ with 398cc Not compatible with Speed T4,https://www.holdmythrottle.com/product-page/scrambler-400-x-hmt,matched_image_id,TR400,15999,InStock,true,Triumph; Active; Indian,,,12 Months Warranty,,"Electronic cruise control kit. Plug and play where compatible. Verify exact model/year/variant before purchase, especially where notes mention Ride By Wire, OBD type, E-Clutch, BS4/BS6, or exclusions."
Triumph,Triumph Speed 400 - Hold My Throttle,Triump Speed 400 MY23+ with 398cc Not compatible with Speed T4,Triump Speed 400 MY23+ with 398cc Not compatible with Speed T4,https://www.holdmythrottle.com/product-page/speed-400-hmt,matched_image_id,TR400,15999,InStock,true,Triumph; Active; Indian,,,12 Months Warranty,,"Electronic cruise control kit. Plug and play where compatible. Verify exact model/year/variant before purchase, especially where notes mention Ride By Wire, OBD type, E-Clutch, BS4/BS6, or exclusions."
